StarID,HIP,HD,HR,Gliese,BayerFlamsteed,ProperName,RA,Dec,Distance,PMRA,PMDec,RV,Mag,AbsMag,Spectrum,ColorIndex,X,Y,Z,VX,VY,VZ
89,89,224837,,,,,0.01847678,53.16694253,384.6153846,0.68,0.03,,7.87,-0.05513326,K2,1.566,230.56864,1.11531,307.84062,-5.00E-08,1.27E-06,3.30E-08
90,90,224842,,,,,0.01866665,-41.88742972,106.9518717,25.1,-46.98,,7.64,2.494058054,F5IV/V,0.5,79.62023,0.3891,-71.40847,-1.63E-05,1.29E-05,-1.81E-05
91,91,224840,,,,,0.01870456,-5.87433293,237.5296912,-15.41,-6.09,,7.66,0.781410479,K0,1.3,236.27953,1.15703,-24.31043,-6.30E-07,-1.77E-05,-6.98E-06
92,92,224841,,,,,0.019375,-20.70558648,209.6436059,27.51,15.15,,8.68,2.072591895,G8III,0.944,196.10011,0.99469,-74.12286,5.30E-06,2.80E-05,1.44E-05
93,93,224839,,,,,0.0194815,-0.07592034,59.73715651,54.94,-73.28,,8.12,4.238777268,F8V,0.619,59.73632,0.30467,-0.07915,-1.09E-07,1.59E-05,-2.12E-05
94,94,,,,,,0.01965686,-32.75680569,95.41984733,50.32,-12.69,,10.1,5.201806413,G2,0.644,80.24461,0.41295,-51.62923,-3.30E-06,2.33E-05,-4.94E-06
95,95,224847,,,,,0.02013592,-11.96400015,127.388535,-9.94,-13.75,,8.67,3.144348284,F5V,0.513,124.61967,0.65694,-26.40726,-1.73E-06,-6.15E-06,-8.31E-06
96,96,,,,,,0.02032623,13.97474826,50.42864347,20.59,139.82,,10.46,6.946613571,M0,1.36,48.93537,0.2604,12.17822,-8.28E-06,4.99E-06,3.32E-05
97,98,224851,,,,,0.02047854,-52.79857954,154.0832049,-2.09,1.7,,9.87,3.931223484,F6/F7V,0.551,93.16027,0.49946,-122.72957,1.02E-06,-1.56E-06,7.67E-07
98,97,224849,,,,,0.0204889,-21.40404527,181.1594203,18.34,1.21,,9.48,3.189695389,F5V,0.53,168.66243,0.90471,-66.11277,3.01E-07,1.61E-05,9.89E-07
99,99,224855,,,,,0.02106774,60.35529798,787.4015748,9.57,-6.49,,7.04,-2.440981395,C5p,2.835,389.45871,2.14808,684.33802,2.13E-05,3.66E-05,-1.23E-05
